Codigo da oferta;Codigo da serie;Emissor;Nome do devedor;Nome de operacao;Emissao;Serie;Data de encerramento da oferta;Status da oferta;Valor total encerrado da serie;TVM;Coordenador lider;Preco unitario;Quantidade total emitida da serie;Valor total emitido da serie;Quantidade total encerrada da serie;Prazo serie;Indexador;Spread;Juros;Periodicidade taxa;Periodicidade pagamento;Data do inicio da rentabilidade;Data de vencimento;Serie senior junior;Setor ANBIMA emissor ou devedor;Segmento ANBIMA emissor ou devedor;Data de emissao;Lei 12431;Artigo da 12431;Garantia;Lastro;Risco de credito
SRE/2023/02138;CVM/SRE/AUT/CRI/PRI/2023/263;Forte securitizadora s.a.;;Caldas novas;5;2;18/01/2024;Encerrada;90000000;CRI;Terra investimentos distribuidora de titulos e valores mobiliarios ltda;1000;90000;90000000;90000;15;IPCA;8;;Anualmente;Mensalmente;21/12/2023;21/06/2038;;Financeiro;Securitizadoras;29/06/2023;Não;;Não se aplica;;
SRE/2023/02138;CVM/SRE/AUT/CRI/PRI/2023/264;Forte securitizadora s.a.;;Caldas novas;5;3;18/01/2024;Encerrada;17000000;CRI;Terra investimentos distribuidora de titulos e valores mobiliarios ltda;1000;17000;17000000;17000;15;IPCA;8;;Anualmente;Mensalmente;21/12/2023;21/06/2038;;Financeiro;Securitizadoras;29/06/2023;Não;;Não se aplica;;
SRE/2023/02138;CVM/SRE/AUT/CRI/PRI/2023/265;Forte securitizadora s.a.;;Caldas novas;5;4;18/01/2024;Encerrada;3000000;CRI;Terra investimentos distribuidora de titulos e valores mobiliarios ltda;1000;3000;3000000;3000;15;IPCA;8;;Anualmente;Mensalmente;21/12/2023;21/06/2038;;Financeiro;Securitizadoras;29/06/2023;Não;;Não se aplica;;
SRE/2023/02261;CVM/SRE/AUT/CRI/PRI/2023/296;Forte securitizadora s.a.;;Gran viver;4;1;18/01/2024;Encerrada;91005000;CRI;Terra investimentos distribuidora de titulos e valores mobiliarios ltda;1000;91005;91005000;91005;4;IPCA;8;;Anualmente;Mensalmente;09/08/2023;20/07/2027;;Financeiro;Securitizadoras;13/07/2023;Não;;Não se aplica;;
SRE/2023/02261;CVM/SRE/AUT/CRI/PRI/2023/297;Forte securitizadora s.a.;;Gran viver;4;2;18/01/2024;Encerrada;30612000;CRI;Terra investimentos distribuidora de titulos e valores mobiliarios ltda;1000;30612;30612000;30612;4;IPCA;8;;Anualmente;Mensalmente;09/08/2023;20/07/2027;;Financeiro;Securitizadoras;13/07/2023;Não;;Não se aplica;;
SRE/2023/02261;CVM/SRE/AUT/CRI/PRI/2023/298;Forte securitizadora s.a.;;Gran viver;4;3;18/01/2024;Encerrada;116800000;CRI;Terra investimentos distribuidora de titulos e valores mobiliarios ltda;1000;116800;116800000;116800;10,4;IPCA;8;;Anualmente;Mensalmente;20/09/2023;20/12/2033;;Financeiro;Securitizadoras;13/07/2023;Não;;Não se aplica;;
SRE/2023/02261;CVM/SRE/AUT/CRI/PRI/2023/299;Forte securitizadora s.a.;;Gran viver;4;4;18/01/2024;Encerrada;38700000;CRI;Terra investimentos distribuidora de titulos e valores mobiliarios ltda;1000;38700;38700000;38700;10,4;IPCA;8;;Anualmente;Mensalmente;20/12/2023;20/12/2033;;Financeiro;Securitizadoras;13/07/2023;Não;;Não se aplica;;
SRE/2023/02261;CVM/SRE/AUT/CRI/PRI/2023/300;Forte securitizadora s.a.;;Gran viver;4;5;18/01/2024;Encerrada;3500000;CRI;Terra investimentos distribuidora de titulos e valores mobiliarios ltda;1000;3500;3500000;3500;10,4;IPCA;8;;Anualmente;Mensalmente;20/09/2023;20/12/2033;;Financeiro;Securitizadoras;13/07/2023;Não;;Não se aplica;;
SRE/2023/02459;CVM/SRE/AUT/CRI/PRI/2023/339;True securitizadora s.a.;;Luni;195;1;18/01/2024;Encerrada;13400000;CRI;True securitizadora s.a.;1000;13400;13400000;13400;10,2;IPCA;11;;Anualmente;Mensalmente;10/08/2023;19/10/2033;Série única;Financeiro;Securitizadoras;26/07/2023;Não;;Não se aplica;Locação;Concentrado
SRE/2023/02952;CVM/SRE/AUT/DEB/PRI/2023/240;Hidro forte administracao e operacao s/a;;;1;1;18/01/2024;Encerrada;93000000;Debêntures;Guide investimentos s.a. corretora de valores;1000;93000;93000000;93000;10,6;IPCA;10;;Anualmente;Mensalmente;25/09/2023;25/03/2034;Não se aplica;Saneamento;Água e esgoto;25/08/2023;Não;;Real;;Não se aplica
SRE/2023/02952;CVM/SRE/AUT/DEB/PRI/2023/241;Hidro forte administracao e operacao s/a;;;1;2;18/01/2024;Encerrada;37000000;Debêntures;Guide investimentos s.a. corretora de valores;1000;37000;37000000;37000;10,6;IPCA;10;;Anualmente;Mensalmente;16/01/2024;25/03/2034;Não se aplica;Saneamento;Água e esgoto;25/08/2023;Não;;Real;;Não se aplica
SRE/2023/03656;CVM/SRE/AUT/CRA/PRI/2023/233;True securitizadora s.a.;;Sba i;77;1;18/01/2024;Encerrada;96000000;CRA;Guide investimentos s.a. corretora de valores;1000;96000;96000000;96000;3,8;DI + Spread;5;;Anualmente;Mensalmente;04/12/2023;20/08/2027;;Financeiro;Securitizadoras;20/11/2023;Não se aplica;;Não se aplica;;
SRE/2023/03656;CVM/SRE/AUT/CRA/PRI/2023/234;True securitizadora s.a.;;Sba i;77;2;18/01/2024;Encerrada;25000000;CRA;Guide investimentos s.a. corretora de valores;1000;25000;25000000;25000;4,8;DI + Spread;6;;Anualmente;Mensalmente;04/12/2023;21/08/2028;;Financeiro;Securitizadoras;20/11/2023;Não se aplica;;Não se aplica;;
SRE/2023/03656;CVM/SRE/AUT/CRA/PRI/2023/235;True securitizadora s.a.;;Sba i;77;3;18/01/2024;Encerrada;55000000;CRA;Guide investimentos s.a. corretora de valores;1000;55000;55000000;55000;5,1;DI + Spread;6;;Anualmente;Mensalmente;05/12/2023;20/12/2028;;Financeiro;Securitizadoras;20/11/2023;Não se aplica;;Não se aplica;;
SRE/2024/04247;CVM/SRE/AUT/CRA/PRI/2024/002;True securitizadora s.a.;;Maestro;76;Série Única;18/01/2024;Encerrada;70000000;CRA;Xp investimentos cctvm s.a.;1000;70000;70000000;70000;5;DI + Spread;4,5;;Anualmente;Mensalmente;17/01/2024;15/12/2028;;Financeiro;Securitizadoras;20/12/2023;Não se aplica;;Não se aplica;;
SRE/2023/02188;CVM/SRE/AUT/CRI/PRI/2023/279;Casa de pedra securitizadora de credito s.a.;;Vanguarda ii;9;Série Única;19/01/2024;Encerrada;35300000;CRI;Terra investimentos distribuidora de titulos e valores mobiliarios ltda;1000;35300;35300000;35300;3,6;;14;;Anualmente;Mensalmente;25/08/2023;21/01/2027;;Financeiro;Securitizadoras;30/06/2023;Não;;Não se aplica;;
